value,freq
3206,1
6399,1
2160,10
5104,2
4935,1
48,10
3591,3
1694,4
2431,3
4888,1
4825,1
3781,1
4416,2
5145,1
7410,1
4239,1
2616,2
1810,1
2424,2
5928,2
5412,1
2806,1
731,1
67,2
3025,1
7843,1
1027,1
182,7
1334,2
2233,2
3460,1
4301,2
356,2
1430,5
1305,3
7076,1
497,1
216,12
776,2
1809,2
165,6
2208,4
4590,2
3680,3
981,1
3322,1
2840,1
1602,2
369,2
2921,1
3876,2
4026,1
5825,1
3081,1
2847,1
741,3
2575,1
4272,1
226,3
69,4
1111,1
3588,2
627,3
4347,3
1520,5
4428,2
5910,1
637,2
1807,1
1360,5
3892,1
4032,5
3818,1
2366,3
3043,1
266,4
18,7
161,4
1218,5
32,6
4440,3
529,1
775,3
152,6
402,3
1460,2
867,1
3024,8
925,2
2664,3
1304,1
2805,2
5363,1
4088,1
4743,1
5046,1
2534,1
1995,3
5292,3
4922,1
70,7
1340,2
1976,4
223,2
3848,1
4780,1
2378,1
1110,5
296,3
485,1
5518,1
2925,3
917,1
2494,1
3477,1
5887,1
1590,3
2592,5
3080,4
1086,1
6944,2
5472,1
2015,2
462,8
1139,1
5945,1
279,3
2831,1
5313,2
1738,2
3381,2
7254,1
1770,3
23,3
52,6
690,7
2016,9
493,2
2325,3
2940,7
4836,2
2951,1
2924,1
2744,2
2125,2
1687,1
2954,1
2132,2
840,14
2808,6
2771,1
2618,4
158,3
1177,1
6728,1
1968,4
608,4
835,1
3051,1
6588,1
3380,2
3262,1
3104,1
2960,2
2425,1
231,6
893,1
2613,1
1969,1
687,1
978,1
5452,1
844,1
1007,1
3131,1
1955,2
4120,1
2800,5
525,6
986,2
2397,1
3280,2
5658,1
5184,2
6120,1
2750,3
3154,1
6507,1
1232,7
2090,4
126,10
3420,5
957,2
1005,2
264,9
29,3
625,2
1127,2
1870,4
1984,3
432,11
1903,1
4578,1
6642,1
5012,1
381,1
2952,3
4536,5
3657,1
973,1
7140,1
3699,1
6870,1
2324,2
2703,1
2119,1
3344,3
68,5
5950,1
4898,1
609,4
1025,2
793,1
5434,2
239,2
27,5
221,4
1910,1
3825,2
1485,4
423,2
1625,2
4710,1
3546,1
645,3
2080,5
1677,1
302,1
5456,2
4060,3
1744,2
2282,1
3222,1
21,5
600,12
961,1
133,4
1734,1
5510,1
1445,1
428,2
755,1
5730,1
5592,1
2184,7
1467,1
1390,1
1593,2
1940,2
2624,1
1674,4
624,9
788,1
3502,1
1197,4
73,2
399,4
804,3
2120,2
3192,5
865,1
322,4
3456,4
4727,1
4876,1
6048,3
5902,1
1690,3
2977,1
1287,3
4809,1
7688,1
2133,2
763,1
5478,1
964,1
6355,1
124,5
4992,2
244,4
1394,1
4700,2
552,7
549,2
4275,2
6129,1
215,3
1701,4
639,2
2158,2
3740,3
1665,2
2192,1
362,1
90,11
5018,1
615,3
1953,3
1443,1
2583,1
4293,1
2422,1
3552,2
5712,2
6630,1
2375,2
2877,1
5133,1
6084,1
4945,1
3393,1
1988,2
4175,1
5019,1
992,4
5080,1
1043,1
7781,1
2941,1
1991,1
3358,1
5535,1
241,2
11,3
60,12
1352,3
6104,1
1045,3
2784,4
6240,2
564,4
1314,3
3360,8
444,5
732,4
711,2
5166,1
6699,1
5575,1
2146,1
2511,2
2187,2
952,6
1224,7
1794,3
415,1
1245,2
2945,2
2254,2
4147,1
2200,5
2484,4
3297,1
129,3
3173,1
5642,2
5336,2
4444,1
4901,1
4234,1
5050,1
4848,1
4009,1
28,7
2610,4
377,2
3872,2
413,1
4600,3
1440,11
5832,2
1917,2
3549,1
5688,1
1333,1
122,3
923,1
2976,4
2231,1
4632,1
2695,1
4220,1
451,1
2291,1
2445,1
1572,1
3162,2
582,2
1462,1
242,5
4266,2
4966,1
1194,1
5424,1
2472,2
2635,2
882,6
1620,8
2987,1
837,3
4048,3
2409,1
465,4
5512,1
3757,1
4880,1
3026,1
7626,1
3105,3
3366,3
2795,1
3808,3
4500,4
871,1
1192,1
1782,5
4437,1
4172,1
620,5
2002,5
4550,2
4074,1
4100,2
2674,1
5214,1
7750,1
3488,1
603,2
1199,1
4020,2
4071,1
6554,1
1085,3
335,1
1106,2
4698,2
3537,1
6525,1
243,5
3689,2
5170,1
6025,1
351,4
4769,1
7279,1
2420,4
2535,2
3515,1
4046,1
1534,2
4833,1
7337,1
2457,3
211,2
177,3
874,2
873,1
3270,2
3198,2
4557,2
4232,1
1158,1
1971,2
469,1
5768,1
